,Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,mode_pitchLine,mode_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,dismissal_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
312,norman vanua,53,0.9464285714285714,2,2,5,4,2,0,56,94.64285714285714,0.07142857142857142,,0.08928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,nosaina pokana,7,0.5833333333333334,0,0,0,0,2,0,12,58.333333333333336,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,nurul hasan,66,0.9565217391304348,2,1,7,3,2,2,69,95.65217391304348,0.043478260869565216,,0.10144927536231885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,nuwan kulasekara,8,0.8888888888888888,0,0,1,0,1,2,9,88.88888888888889,0.0,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,nuwan thushara,1,0.2,0,0,0,0,0,2,5,20.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,obed mccoy,2,0.5,0,0,1,0,1,2,4,50.0,0.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,odean smith,29,1.2083333333333333,1,2,1,3,2,2,24,120.83333333333333,0.125,,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,pargat singh,28,0.9655172413793104,2,0,3,2,2,2,29,96.55172413793103,0.06896551724137931,,0.10344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,pat cummins,36,1.3846153846153846,2,3,4,5,2,2,26,138.46153846153845,0.19230769230769232,,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,pathum nissanka,518,1.2074592074592074,38,14,17,52,2,2,429,120.74592074592074,0.12121212121212122,,0.039627039627039624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,paul stirling,312,1.223529411764706,29,10,12,39,2,2,255,122.3529411764706,0.15294117647058825,,0.047058823529411764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,paul van meekeren,49,1.4848484848484849,6,1,3,7,2,2,33,148.4848484848485,0.21212121212121213,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,peter borren,55,1.4864864864864864,6,0,2,6,2,2,37,148.64864864864865,0.16216216216216217,,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,peter nevill,14,3.5,0,2,0,2,1,0,4,350.0,0.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,phil salt,62,1.7714285714285714,6,4,3,10,1,0,35,177.14285714285714,0.2857142857142857,,0.08571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,pieter seelaar,28,0.7,2,0,2,2,2,4,40,70.0,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,pikky ya france,4,0.4444444444444444,0,0,2,0,2,2,9,44.44444444444444,0.0,,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,pratik athavale,62,1.3478260869565217,6,2,3,8,2,2,46,134.7826086956522,0.17391304347826086,,0.06521739130434782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,preston mommsen,49,1.0425531914893618,2,0,1,2,2,2,47,104.25531914893618,0.0425531914893617,,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,quinton de kock,400,1.3745704467353952,45,14,14,59,1,2,291,137.4570446735395,0.2027491408934708,,0.048109965635738834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,rachin ravindra,10,0.7692307692307693,0,0,1,0,2,4,13,76.92307692307693,0.0,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,rahmanullah gurbaz,291,1.3791469194312795,16,18,11,34,2,2,211,137.91469194312796,0.16113744075829384,,0.052132701421800945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,rangana herath,6,0.6,0,0,3,0,1,2,10,60.0,0.0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,rashid khan,100,1.3513513513513513,8,6,7,14,2,2,74,135.13513513513513,0.1891891891891892,,0.0945945945945946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,rassie van der dussen,180,1.1688311688311688,8,6,2,14,2,2,154,116.88311688311688,0.09090909090909091,,0.012987012987012988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,ravi rampaul,3,0.375,0,0,1,0,2,2,8,37.5,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,ravichandran ashwin,38,0.926829268292683,2,1,2,3,2,2,41,92.6829268292683,0.07317073170731707,,0.04878048780487805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,ravinderpal singh,0,0.0,0,0,1,0,2,2,2,0.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,ravindra jadeja,52,1.1818181818181819,5,1,4,6,1,0,44,118.18181818181819,0.13636363636363635,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,reeza hendricks,64,0.927536231884058,7,1,8,8,2,2,69,92.7536231884058,0.11594202898550725,,0.11594202898550725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,regis chakabva,54,0.8307692307692308,5,1,8,6,2,2,65,83.07692307692308,0.09230769230769231,,0.12307692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,richard ngarava,27,1.2857142857142858,0,2,4,2,2,2,21,128.57142857142858,0.09523809523809523,,0.19047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,richie berrington,350,1.232394366197183,19,13,12,32,2,2,284,123.2394366197183,0.11267605633802817,,0.04225352112676056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,richmond mutumbami,31,0.9393939393939394,4,1,3,5,2,2,33,93.93939393939394,0.15151515151515152,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
