Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
Reeza Hendricks,Powerplay,54,57,7,7,6,1,94.74,12.28,12.28,54.39,0.237,Low,opening batter
Regis Chakabva,Middle,16,19,0,2,0,0,84.21,0.0,10.53,31.58,0.234,Low,wicketkeeper batter
Regis Chakabva,Powerplay,32,44,6,6,5,1,72.73,13.64,13.64,72.73,0.179,Low,wicketkeeper batter
Richard Ngarava,Death,24,17,2,4,0,2,141.18,11.76,23.53,47.06,0.304,Low,bowler
Richard Ngarava,Middle,2,3,0,0,0,0,66.67,0.0,0.0,33.33,0.21,Low,bowler
Richie Berrington,Death,91,59,10,4,6,4,154.24,16.95,6.78,25.42,0.378,Moderate,top-order batter
Richie Berrington,Middle,233,184,21,6,12,9,126.63,11.41,3.26,30.98,0.318,Low,top-order batter
Richie Berrington,Powerplay,15,32,1,2,1,0,46.88,3.12,6.25,65.62,0.132,Low,top-order batter
Richmond Mutumbami,Middle,10,8,1,2,0,1,125.0,12.5,25.0,37.5,0.307,Low,wicketkeeper batter
Richmond Mutumbami,Powerplay,20,24,4,1,4,0,83.33,16.67,4.17,66.67,0.213,Low,wicketkeeper batter
Rilee Rossouw,Death,12,8,1,1,0,1,150.0,12.5,12.5,25.0,0.361,Moderate,top-order batter
Rilee Rossouw,Middle,75,44,10,1,7,3,170.45,22.73,2.27,25.0,0.415,Moderate,top-order batter
Rilee Rossouw,Powerplay,48,32,6,3,2,4,150.0,18.75,9.38,43.75,0.342,Moderate,top-order batter
Rishabh Pant,Death,33,16,5,1,2,3,206.25,31.25,6.25,25.0,0.482,Moderate,wicketkeeper batter
Rishabh Pant,Middle,111,95,11,5,7,4,116.84,11.58,5.26,34.74,0.3,Low,wicketkeeper batter
Rishabh Pant,Powerplay,39,36,5,0,4,1,108.33,13.89,0.0,50.0,0.267,Low,wicketkeeper batter
Rishad Hossain,Death,2,4,0,1,0,0,50.0,0.0,25.0,50.0,0.158,Low,bowler
Roelof van der Merwe,Death,4,11,0,2,0,0,36.36,0.0,18.18,63.64,0.115,Low,bowling allrounder
Roelof van der Merwe,Middle,9,9,1,3,1,0,100.0,11.11,33.33,55.56,0.238,Low,bowling allrounder
Roelof van der Merwe,Powerplay,2,5,0,2,0,0,40.0,0.0,40.0,80.0,0.086,Low,bowling allrounder
Rohit Paudel,Death,1,3,0,1,0,0,33.33,0.0,33.33,66.67,0.105,Low,batting allrounder
Rohit Paudel,Middle,28,23,4,0,4,0,121.74,17.39,0.0,34.78,0.323,Low,batting allrounder
Rohit Paudel,Powerplay,10,11,1,0,1,0,90.91,9.09,0.0,72.73,0.187,Low,batting allrounder
Rohit Sharma,Middle,130,91,17,6,11,6,142.86,18.68,6.59,32.97,0.355,Moderate,top-order batter
Rohit Sharma,Powerplay,313,267,45,12,33,12,117.23,16.85,4.49,47.94,0.29,Low,top-order batter
Romario Shepherd,Death,3,6,0,1,0,0,50.0,0.0,16.67,50.0,0.158,Low,bowling allrounder
Romario Shepherd,Middle,10,8,1,0,0,1,125.0,12.5,0.0,37.5,0.307,Low,bowling allrounder
Ross Taylor,Death,65,39,7,3,4,3,166.67,17.95,7.69,28.21,0.39,Moderate,middle-order batter
Ross Taylor,Middle,30,41,1,0,1,0,73.17,2.44,0.0,41.46,0.209,Low,middle-order batter
Roston Chase,Death,26,9,5,0,4,1,288.89,55.56,0.0,0.0,0.7,High,allrounder
Roston Chase,Middle,41,36,3,1,2,1,113.89,8.33,2.78,22.22,0.312,Low,allrounder
Roston Chase,Powerplay,17,25,2,3,2,0,68.0,8.0,12.0,64.0,0.174,Low,allrounder
Rovman Powell,Death,22,20,2,3,0,2,110.0,10.0,15.0,45.0,0.267,Low,middle-order batter
Rovman Powell,Middle,41,39,4,3,4,0,105.13,10.26,7.69,38.46,0.275,Low,middle-order batter
Rovman Powell,Powerplay,1,5,0,1,0,0,20.0,0.0,20.0,80.0,0.063,Low,middle-order batter
Ruben Trumpelmann,Death,53,37,7,2,5,2,143.24,18.92,5.41,32.43,0.357,Moderate,bowler
Ruben Trumpelmann,Middle,12,16,1,1,0,1,75.0,6.25,6.25,62.5,0.18,Low,bowler
