Full Name,total_runs,balls_faced,total_fours,total_sixes,total_boundaries,total_wickets,strike_rate,average,dismissal_rate,boundary_pct,dot_ball_pct,vs_left_arm_fast,vs_left_arm_fast_medium,vs_left_arm_medium,vs_left_arm_mediumslow_left_arm_orthodox,vs_left_arm_medium_fast,vs_left_arm_wrist_spin,vs_legbreak,vs_legbreak_googly,vs_right_arm_fast,vs_right_arm_fast_medium,vs_right_arm_fast_mediumlegbreak,vs_right_arm_fast_mediumlegbreak_googly,vs_right_arm_medium,vs_right_arm_mediumlegbreak,vs_right_arm_mediumright_arm_offbreak,vs_right_arm_medium_fast,vs_right_arm_medium_fastright_arm_offbreak,vs_right_arm_offbreak,vs_right_arm_offbreaklegbreak,vs_right_arm_offbreaklegbreak_googly,vs_slow_left_arm_orthodox,avg_runs_death,avg_runs_middle,avg_runs_powerplay,adaptability_index,adaptability_label,run_std,consistency_index
Dwayne Bravo,97.0,91.0,5.0,3.0,8.0,7.0,106.59,13.86,13.0,8.79,36.26,2.0,0.25,0.0,0.0,0.0,0.0,1.1818181818181819,0.9285714285714286,1.0909090909090908,1.1538461538461537,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.46153846153846156,0.0,0.0,0.6666666666666666,1.4,0.9863013698630136,0.5,0.586,Medium,1.2855045429031209,10.782
Elton Chigumbura,67.0,40.0,1.0,5.0,6.0,3.0,167.5,22.33,13.33,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.0,0.0,0.0,1.0,1.7,1.4545454545454546,0.0,0.104,Low,1.8809053346856084,11.872
Eoin Morgan,142.0,114.0,8.0,6.0,14.0,6.0,124.56,23.67,19.0,12.28,35.09,0.0,1.25,0.0,0.0,0.0,0.0,0.7222222222222222,0.875,1.4642857142857142,1.0,0.0,0.0,1.0769230769230769,0.0,0.0,1.7,0.0,0.5333333333333333,0.0,0.0,1.5454545454545454,1.702127659574468,0.9642857142857143,0.47058823529411764,0.579,Medium,1.4949963229393717,15.833
Evin Lewis,157.0,137.0,13.0,8.0,21.0,9.0,114.6,17.44,15.22,15.33,49.64,1.0,0.7142857142857143,0.0,0.0,2.6666666666666665,2.3333333333333335,0.75,1.0,1.2777777777777777,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.5,0.0,1.1851851851851851,0.8,0.0,0.8333333333333334,0.0,0.9795918367346939,1.1595744680851063,0.75,High,1.6500733458503314,10.569
Faf du Plessis,98.0,84.0,10.0,2.0,12.0,3.0,116.67,32.67,28.0,14.29,39.29,0.0,2.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.1666666666666667,1.2857142857142858,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.25,1.0,0.0,1.0666666666666667,1.0,1.0925925925925926,1.1935483870967742,0.666,High,1.4289742434343677,22.863
Fakhar Zaman,161.0,126.0,9.0,8.0,17.0,7.0,127.78,23.0,18.0,13.49,35.71,2.5,1.3,0.0,0.0,1.6666666666666667,0.0,1.1111111111111112,0.6666666666666666,1.1111111111111112,1.3125,0.0,0.0,0.75,0.0,0.0,0.6666666666666666,0.0,1.4615384615384615,0.0,0.0,1.4210526315789473,1.6896551724137931,1.0,1.3636363636363635,0.692,High,1.6155059566971677,14.237
Finn Allen,124.0,75.0,14.0,6.0,20.0,7.0,165.33,17.71,10.71,26.67,42.67,2.0,1.0,0.0,0.0,0.25,0.0,2.0,2.4,1.6428571428571428,1.8333333333333333,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.4,0.0,0.0,1.6103896103896105,0.562,Medium,1.9477101545677746,9.093
Gareth Delany,159.0,126.0,14.0,5.0,19.0,8.0,126.19,19.88,15.75,15.08,34.13,4.0,0.8,0.0,0.0,2.0714285714285716,0.0,0.3333333333333333,1.0,1.3846153846153846,0.5714285714285714,0.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0833333333333333,1.2857142857142858,0.0,1.325,1.7619047619047619,1.1734693877551021,0.7777777777777778,0.536,Medium,1.5253557413912582,13.033
Gary Wilson,38.0,37.0,5.0,0.0,5.0,2.0,102.7,19.0,18.5,13.51,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0588235294117647,0.3333333333333333,1.1,1.0,0.148,Low,1.3225918679809163,14.366
George Dockrell,148.0,112.0,12.0,2.0,14.0,7.0,132.14,21.14,16.0,12.5,25.89,0.0,3.3333333333333335,0.0,0.0,1.0,0.0,1.75,0.0,1.0,1.3333333333333333,0.0,0.0,1.1818181818181819,0.0,0.0,1.3846153846153846,0.0,0.9166666666666666,0.0,0.0,1.3846153846153846,1.6285714285714286,1.2575757575757576,0.5333333333333333,0.513,Medium,1.316029647456131,16.063
George Munsey,472.0,350.0,54.0,12.0,66.0,16.0,134.86,29.5,21.88,18.86,45.14,1.0,1.2962962962962963,0.75,0.0,0.9166666666666666,0.0,1.4583333333333333,1.0833333333333333,1.1063829787234043,1.6875,0.0,0.0,1.8461538461538463,0.0,0.0,1.1956521739130435,0.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.8867924528301887,1.3157894736842106,1.2190476190476192,1.2412451361867705,0.93,High,1.615113725720036,18.265
Gerhard Erasmus,314.0,290.0,24.0,6.0,30.0,13.0,108.28,24.15,22.31,10.34,40.69,0.0,1.5,0.0,0.0,0.0,0.0,1.25,0.5789473684210527,0.8947368421052632,1.04,0.0,0.0,0.5833333333333334,0.0,0.0,0.8,0.0,1.2285714285714286,0.0,1.3,1.1875,1.3666666666666667,1.1036036036036037,0.6511627906976745,0.67,High,1.3474292368258893,17.923
Glenn Maxwell,315.0,241.0,27.0,10.0,37.0,12.0,130.71,26.25,20.08,15.35,36.93,0.0,1.65,0.0,0.0,0.5,0.75,1.3055555555555556,1.6470588235294117,1.125,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,1.2195121951219512,0.0,1.6923076923076923,0.6666666666666666,0.0,1.0566037735849056,1.5681818181818181,1.2268041237113403,0.5714285714285714,0.724,High,1.5295886487101515,17.161
Glenn Phillips,379.0,269.0,27.0,15.0,42.0,12.0,140.89,31.58,22.42,15.61,34.94,2.8333333333333335,0.5,0.0,0.0,1.625,0.0,1.34375,1.875,1.3518518518518519,1.1481481481481481,0.0,0.0,0.0,0.0,0.0,1.42,0.0,1.5476190476190477,1.4444444444444444,0.0,0.7,1.6625,1.2824858757062148,0.9047619047619048,0.687,High,1.6192721939969104,19.503
